,N3n_LON,N3n_LAT,N3n_DATE,N3n_NAME,Qc
0,29.393,33.92,2017-01-01 00:00:00,6901766,2.0
1,26.137,34.162,2017-01-02 00:00:00,6903204,-9999.0
2,26.535,33.017,2017-01-03 00:00:00,6901770,1.0
3,17.084,34.806,2017-01-04 00:00:00,6903153,-9999.0
4,16.886,42.029,2017-01-05 00:00:00,6903178,-9999.0
5,17.639,36.848,2017-01-05 00:00:00,6901771,1.0
6,17.445,41.847,2017-01-06 00:00:00,6903197,-9999.0
7,26.08,33.918,2017-01-07 00:00:00,6903204,-9999.0
8,30.677,32.903,2017-01-07 00:00:00,6901773,2.0
9,10.382,40.747,2017-01-09 00:00:00,6901767,1.0
10,16.993,34.899,2017-01-09 00:00:00,6903153,-9999.0
11,26.445,32.919,2017-01-10 00:00:00,6901770,1.0
12,17.376,41.611,2017-01-11 00:00:00,6903197,-9999.0
13,17.643,36.767,2017-01-12 00:00:00,6901771,1.0
14,26.024,33.674,2017-01-12 00:00:00,6903204,-9999.0
15,16.925,34.907,2017-01-14 00:00:00,6903153,-9999.0
16,30.75,32.93,2017-01-14 00:00:00,6901773,2.0
17,10.377,40.696,2017-01-16 00:00:00,6901767,1.0
18,26.466,32.916,2017-01-17 00:00:00,6901770,1.0
19,16.899,34.835,2017-01-19 00:00:00,6903153,-9999.0
20,17.598,36.718,2017-01-19 00:00:00,6901771,1.0
21,30.79,32.989,2017-01-21 00:00:00,6901773,2.0
22,10.378,40.664,2017-01-23 00:00:00,6901767,1.0
23,16.826,34.74,2017-01-24 00:00:00,6903153,-9999.0
24,16.758,41.571,2017-01-25 00:00:00,6903178,-9999.0
25,17.597,36.67,2017-01-26 00:00:00,6901771,1.0
26,17.845,41.364,2017-01-26 00:00:00,6903197,-9999.0
27,30.871,32.984,2017-01-28 00:00:00,6901773,2.0
28,16.84,34.813,2017-01-29 00:00:00,6903153,-9999.0
29,10.435,40.699,2017-01-30 00:00:00,6901767,1.0
30,16.862,34.785,2017-02-03 00:00:00,6903153,-9999.0
31,16.759,41.573,2017-02-04 00:00:00,6903178,-9999.0
32,30.972,33.04,2017-02-04 00:00:00,6901773,2.0
33,17.922,41.373,2017-02-05 00:00:00,6903197,-9999.0
34,29.785,34.161,2017-02-05 00:00:00,6901766,2.0
35,25.942,33.81,2017-02-06 00:00:00,6903204,-9999.0
36,10.503,39.239,2017-02-07 00:00:00,6901769,1.0
37,16.921,34.744,2017-02-08 00:00:00,6903153,-9999.0
38,16.761,41.573,2017-02-09 00:00:00,6903178,-9999.0
39,17.49,36.749,2017-02-09 00:00:00,6901771,1.0
40,18.137,41.174,2017-02-10 00:00:00,6903197,-9999.0
41,31.013,33.089,2017-02-11 00:00:00,6901773,2.0
42,10.578,40.704,2017-02-13 00:00:00,6901767,1.0
43,16.984,34.742,2017-02-13 00:00:00,6903153,-9999.0
44,16.764,41.565,2017-02-14 00:00:00,6903178,-9999.0
45,17.525,36.834,2017-02-16 00:00:00,6901771,1.0
46,30.518,34.308,2017-02-16 00:00:00,6901764,1.0
47,17.041,34.867,2017-02-18 00:00:00,6903153,-9999.0
48,31.0,33.101,2017-02-18 00:00:00,6901773,2.0
49,16.769,41.559,2017-02-19 00:00:00,6903178,-9999.0
50,9.955,39.377,2017-02-20 00:00:00,6903180,-9999.0
51,10.53,40.775,2017-02-20 00:00:00,6901767,1.0
52,26.741,33.199,2017-02-21 00:00:00,6901770,1.0
53,17.173,35.242,2017-02-23 00:00:00,6903153,-9999.0
54,17.655,36.837,2017-02-23 00:00:00,6901771,1.0
55,30.335,34.393,2017-02-23 00:00:00,6901764,1.0
56,16.776,41.556,2017-02-24 00:00:00,6903178,-9999.0
57,9.938,39.205,2017-02-25 00:00:00,6903180,-9999.0
58,30.951,33.02,2017-02-25 00:00:00,6901773,2.0
59,10.512,40.813,2017-02-27 00:00:00,6901767,1.0
60,10.304,39.173,2017-02-28 00:00:00,6901769,1.0
61,17.13,35.333,2017-02-28 00:00:00,6903153,-9999.0
62,26.74,33.138,2017-02-28 00:00:00,6901770,1.0
63,16.78,41.555,2017-03-01 00:00:00,6903178,-9999.0
64,9.848,39.106,2017-03-02 00:00:00,6903180,-9999.0
65,17.67,36.716,2017-03-02 00:00:00,6901771,1.0
66,29.974,34.527,2017-03-02 00:00:00,6901764,1.0
67,31.024,32.987,2017-03-04 00:00:00,6901773,2.0
68,17.164,35.413,2017-03-05 00:00:00,6903153,-9999.0
69,10.487,40.819,2017-03-06 00:00:00,6901767,1.0
70,16.785,41.557,2017-03-06 00:00:00,6903178,-9999.0
71,9.728,39.06,2017-03-07 00:00:00,6903180,-9999.0
72,10.26,39.0,2017-03-07 00:00:00,6901769,1.0
73,26.557,33.308,2017-03-07 00:00:00,6901770,1.0
74,26.158,34.246,2017-03-08 00:00:00,6903204,-9999.0
75,17.533,36.677,2017-03-09 00:00:00,6901771,1.0
76,29.639,34.572,2017-03-09 00:00:00,6901764,1.0
77,7.884,42.683,2017-03-10 00:00:00,6902733,1.0
78,17.22,35.58,2017-03-10 00:00:00,6903153,-9999.0
79,16.791,41.55,2017-03-11 00:00:00,6903178,-9999.0
80,31.001,32.998,2017-03-11 00:00:00,6901773,2.0
81,9.701,39.012,2017-03-12 00:00:00,6903180,-9999.0
82,10.441,40.824,2017-03-13 00:00:00,6901767,1.0
83,26.309,34.098,2017-03-13 00:00:00,6903204,-9999.0
84,21.998,35.798,2017-03-14 00:00:00,6903203,-9999.0
85,17.197,35.874,2017-03-15 00:00:00,6903153,-9999.0
86,34.006,32.228,2017-03-15 00:00:00,6903222,-9999.0
87,16.796,41.543,2017-03-16 00:00:00,6903178,-9999.0
88,17.442,36.675,2017-03-16 00:00:00,6901771,1.0
89,29.324,34.614,2017-03-16 00:00:00,6901764,1.0
90,8.077,42.634,2017-03-17 00:00:00,6902733,1.0
91,9.662,38.961,2017-03-17 00:00:00,6903180,-9999.0
92,33.988,32.256,2017-03-17 00:00:00,6903222,-9999.0
93,31.231,32.937,2017-03-18 00:00:00,6901773,2.0
94,10.321,40.619,2017-03-20 00:00:00,6901767,1.0
95,17.088,35.948,2017-03-20 00:00:00,6903153,-9999.0
96,23.384,35.107,2017-03-20 00:00:00,6901765,1.0
97,6.079,41.567,2017-03-21 00:00:00,6902687,-9999.0
98,16.796,41.536,2017-03-21 00:00:00,6903178,-9999.0
99,9.618,38.923,2017-03-22 00:00:00,6903180,-9999.0
100,17.327,36.683,2017-03-23 00:00:00,6901771,1.0
101,25.217,33.459,2017-03-23 00:00:00,6903204,-9999.0
102,29.059,34.641,2017-03-23 00:00:00,6901764,1.0
103,17.16,35.939,2017-03-25 00:00:00,6903153,-9999.0
104,31.341,33.08,2017-03-25 00:00:00,6901773,2.0
105,5.828,41.439,2017-03-26 00:00:00,6902687,-9999.0
106,9.505,38.856,2017-03-27 00:00:00,6903180,-9999.0
107,10.312,40.512,2017-03-27 00:00:00,6901767,1.0
108,23.095,35.298,2017-03-27 00:00:00,6901765,1.0
109,17.119,35.986,2017-03-30 00:00:00,6903153,-9999.0
110,17.185,36.783,2017-03-30 00:00:00,6901771,1.0
111,29.179,34.566,2017-03-30 00:00:00,6901764,1.0
112,5.48,41.412,2017-03-31 00:00:00,6902687,-9999.0
113,7.837,42.503,2017-03-31 00:00:00,6902733,1.0
114,9.332,38.755,2017-04-01 00:00:00,6903180,-9999.0
115,31.117,33.269,2017-04-01 00:00:00,6901773,2.0
116,33.724,32.48,2017-04-01 00:00:00,6903222,-9999.0
117,29.868,33.08,2017-04-02 00:00:00,6901766,2.0
118,10.301,40.504,2017-04-03 00:00:00,6901767,1.0
119,22.807,35.515,2017-04-03 00:00:00,6901765,1.0
120,16.922,35.947,2017-04-04 00:00:00,6903153,-9999.0
121,5.031,41.456,2017-04-05 00:00:00,6902687,-9999.0
122,9.15,38.672,2017-04-06 00:00:00,6903180,-9999.0
123,17.132,36.86,2017-04-06 00:00:00,6901771,1.0
124,29.264,34.505,2017-04-06 00:00:00,6901764,1.0
125,7.516,42.411,2017-04-07 00:00:00,6902733,1.0
126,25.132,33.176,2017-04-07 00:00:00,6903204,-9999.0
127,20.856,36.392,2017-04-08 00:00:00,6901768,1.0
128,21.916,35.542,2017-04-08 00:00:00,6903203,-9999.0
129,30.748,33.372,2017-04-08 00:00:00,6901773,2.0
130,16.813,35.912,2017-04-09 00:00:00,6903153,-9999.0
131,29.58,32.971,2017-04-09 00:00:00,6901766,2.0
132,5.141,41.51,2017-04-10 00:00:00,6902687,-9999.0
133,10.289,40.499,2017-04-10 00:00:00,6901767,1.0
134,22.716,35.598,2017-04-10 00:00:00,6901765,1.0
135,9.129,38.661,2017-04-11 00:00:00,6903180,-9999.0
136,33.864,32.609,2017-04-11 00:00:00,6903222,-9999.0
137,25.321,33.159,2017-04-12 00:00:00,6903204,-9999.0
138,17.132,36.999,2017-04-13 00:00:00,6901771,1.0
139,21.949,35.626,2017-04-13 00:00:00,6903203,-9999.0
140,29.05,34.68,2017-04-13 00:00:00,6901764,1.0
141,5.255,41.695,2017-04-15 00:00:00,6902687,-9999.0
142,20.628,36.236,2017-04-15 00:00:00,6901768,1.0
143,30.772,33.267,2017-04-15 00:00:00,6901773,2.0
144,9.055,38.581,2017-04-16 00:00:00,6903180,-9999.0
145,29.292,32.953,2017-04-16 00:00:00,6901766,2.0
146,33.86,32.617,2017-04-16 00:00:00,6903222,-9999.0
147,10.268,40.495,2017-04-17 00:00:00,6901767,1.0
148,22.599,35.695,2017-04-17 00:00:00,6901765,1.0
149,25.54,33.225,2017-04-17 00:00:00,6903204,-9999.0
150,5.438,41.544,2017-04-20 00:00:00,6902687,-9999.0
151,17.151,37.153,2017-04-20 00:00:00,6901771,1.0
152,28.912,34.681,2017-04-20 00:00:00,6901764,1.0
153,7.948,42.453,2017-04-21 00:00:00,6902733,1.0
154,8.852,38.51,2017-04-21 00:00:00,6903180,-9999.0
155,33.736,32.553,2017-04-21 00:00:00,6903222,-9999.0
156,20.352,36.391,2017-04-22 00:00:00,6901768,1.0
157,25.59,33.377,2017-04-22 00:00:00,6903204,-9999.0
158,31.189,33.166,2017-04-22 00:00:00,6901773,2.0
159,29.256,32.793,2017-04-23 00:00:00,6901766,2.0
160,10.216,40.478,2017-04-24 00:00:00,6901767,1.0
161,22.396,35.697,2017-04-24 00:00:00,6901765,1.0
162,5.487,41.489,2017-04-25 00:00:00,6902687,-9999.0
163,9.831,38.682,2017-04-25 00:00:00,6901769,1.0
164,33.642,32.642,2017-04-26 00:00:00,6903222,-9999.0
165,17.179,37.281,2017-04-27 00:00:00,6901771,1.0
166,25.339,33.55,2017-04-27 00:00:00,6903204,-9999.0
167,28.826,34.639,2017-04-27 00:00:00,6901764,1.0
168,20.324,36.572,2017-04-29 00:00:00,6901768,1.0
169,31.011,33.118,2017-04-29 00:00:00,6901773,2.0
170,5.624,41.537,2017-04-30 00:00:00,6902687,-9999.0
171,16.807,41.512,2017-04-30 00:00:00,6903178,-9999.0
172,29.346,32.953,2017-04-30 00:00:00,6901766,2.0
173,10.218,40.511,2017-05-01 00:00:00,6901767,1.0
174,22.203,35.613,2017-05-01 00:00:00,6901765,1.0
175,33.549,32.647,2017-05-01 00:00:00,6903222,-9999.0
176,26.929,34.281,2017-05-02 00:00:00,6901770,1.0
177,17.341,37.406,2017-05-04 00:00:00,6901771,1.0
178,28.849,34.513,2017-05-04 00:00:00,6901764,1.0
179,5.88,41.469,2017-05-05 00:00:00,6902687,-9999.0
180,20.538,36.652,2017-05-06 00:00:00,6901768,1.0
181,30.735,33.214,2017-05-06 00:00:00,6901773,2.0
182,33.518,32.661,2017-05-06 00:00:00,6903222,-9999.0
183,25.79,33.783,2017-05-07 00:00:00,6903204,-9999.0
184,29.707,32.918,2017-05-07 00:00:00,6901766,2.0
185,10.217,40.528,2017-05-08 00:00:00,6901767,1.0
186,22.095,35.558,2017-05-08 00:00:00,6901765,1.0
187,16.596,35.751,2017-05-09 00:00:00,6903153,-9999.0
188,26.992,34.088,2017-05-09 00:00:00,6901770,1.0
189,6.167,41.449,2017-05-10 00:00:00,6902687,-9999.0
190,17.63,37.444,2017-05-11 00:00:00,6901771,1.0
191,28.976,34.443,2017-05-11 00:00:00,6901764,1.0
192,8.188,42.426,2017-05-12 00:00:00,6902733,1.0
193,25.49,34.175,2017-05-12 00:00:00,6903204,-9999.0
194,20.688,36.403,2017-05-13 00:00:00,6901768,1.0
195,30.732,33.187,2017-05-13 00:00:00,6901773,2.0
196,30.05,33.087,2017-05-14 00:00:00,6901766,2.0
197,10.231,40.479,2017-05-15 00:00:00,6901767,1.0
198,22.042,35.573,2017-05-15 00:00:00,6901765,1.0
199,26.891,34.111,2017-05-16 00:00:00,6901770,1.0
200,33.498,32.577,2017-05-16 00:00:00,6903222,-9999.0
201,25.535,34.001,2017-05-17 00:00:00,6903204,-9999.0
202,17.763,37.788,2017-05-18 00:00:00,6901771,1.0
203,28.975,34.54,2017-05-18 00:00:00,6901764,1.0
204,17.708,37.827,2017-05-19 00:00:00,6901771,1.0
205,17.67,37.848,2017-05-20 00:00:00,6901771,1.0
206,20.41,36.317,2017-05-20 00:00:00,6901768,1.0
207,17.641,37.847,2017-05-21 00:00:00,6901771,1.0
208,30.358,32.953,2017-05-21 00:00:00,6901766,2.0
209,33.444,32.578,2017-05-21 00:00:00,6903222,-9999.0
210,10.2,40.386,2017-05-22 00:00:00,6901767,1.0
211,17.601,37.838,2017-05-22 00:00:00,6901771,1.0
212,21.875,35.738,2017-05-22 00:00:00,6901765,1.0
213,25.59,33.916,2017-05-22 00:00:00,6903204,-9999.0
214,17.574,37.829,2017-05-23 00:00:00,6901771,1.0
215,14.634,39.439,2017-05-24 00:00:00,6903225,-9999.0
216,28.791,34.543,2017-05-25 00:00:00,6901764,1.0
217,33.418,32.561,2017-05-26 00:00:00,6903222,-9999.0
218,19.869,35.413,2017-05-27 00:00:00,6902828,-9999.0
219,20.187,36.408,2017-05-27 00:00:00,6901768,1.0
220,25.801,33.808,2017-05-27 00:00:00,6903204,-9999.0
221,31.148,33.349,2017-05-27 00:00:00,6901773,2.0
222,19.883,35.411,2017-05-28 00:00:00,6902828,-9999.0
223,30.098,32.844,2017-05-28 00:00:00,6901766,2.0
224,10.184,40.292,2017-05-29 00:00:00,6901767,1.0
225,19.918,35.411,2017-05-29 00:00:00,6902828,-9999.0
226,21.486,35.829,2017-05-29 00:00:00,6901765,1.0
227,19.957,35.414,2017-05-30 00:00:00,6902828,-9999.0
228,26.612,34.316,2017-05-30 00:00:00,6901770,1.0
229,20.002,35.429,2017-05-31 00:00:00,6902828,-9999.0
230,33.474,32.543,2017-05-31 00:00:00,6903222,-9999.0
231,20.052,35.443,2017-06-01 00:00:00,6902828,-9999.0
232,25.874,33.98,2017-06-01 00:00:00,6903204,-9999.0
233,20.091,35.469,2017-06-02 00:00:00,6902828,-9999.0
234,20.126,36.469,2017-06-03 00:00:00,6901768,1.0
235,31.235,33.387,2017-06-03 00:00:00,6901773,2.0
236,20.161,35.552,2017-06-04 00:00:00,6902828,-9999.0
237,29.784,32.863,2017-06-04 00:00:00,6901766,2.0
238,10.225,40.323,2017-06-05 00:00:00,6901767,1.0
239,20.229,35.642,2017-06-05 00:00:00,6902828,-9999.0
240,21.303,36.021,2017-06-05 00:00:00,6901765,1.0
241,33.578,32.507,2017-06-05 00:00:00,6903222,-9999.0
242,20.308,35.783,2017-06-06 00:00:00,6902828,-9999.0
243,25.848,33.832,2017-06-06 00:00:00,6903204,-9999.0
244,26.601,34.496,2017-06-06 00:00:00,6901770,1.0
245,15.139,39.716,2017-06-07 00:00:00,6903225,-9999.0
246,20.36,35.965,2017-06-08 00:00:00,6902828,-9999.0
247,20.0,36.378,2017-06-10 00:00:00,6901768,1.0
248,20.327,36.079,2017-06-10 00:00:00,6902828,-9999.0
249,33.647,32.472,2017-06-10 00:00:00,6903222,-9999.0
250,20.269,36.097,2017-06-11 00:00:00,6902828,-9999.0
251,25.612,33.863,2017-06-11 00:00:00,6903204,-9999.0
252,29.373,32.684,2017-06-11 00:00:00,6901766,2.0
253,10.204,40.384,2017-06-12 00:00:00,6901767,1.0
254,15.402,39.738,2017-06-12 00:00:00,6903225,-9999.0
255,20.187,36.097,2017-06-12 00:00:00,6902828,-9999.0
256,21.265,36.138,2017-06-12 00:00:00,6901765,1.0
257,20.098,36.061,2017-06-13 00:00:00,6902828,-9999.0
258,26.596,34.593,2017-06-13 00:00:00,6901770,1.0
259,20.039,35.991,2017-06-14 00:00:00,6902828,-9999.0
260,20.035,35.923,2017-06-15 00:00:00,6902828,-9999.0
261,33.679,32.512,2017-06-15 00:00:00,6903222,-9999.0
262,20.071,35.888,2017-06-16 00:00:00,6902828,-9999.0
263,19.742,36.22,2017-06-17 00:00:00,6901768,1.0
264,20.135,35.89,2017-06-17 00:00:00,6902828,-9999.0
265,31.097,33.273,2017-06-17 00:00:00,6901773,2.0
266,20.218,35.931,2017-06-18 00:00:00,6902828,-9999.0
267,20.296,35.997,2017-06-19 00:00:00,6902828,-9999.0
268,21.302,36.287,2017-06-19 00:00:00,6901765,1.0
269,20.369,36.069,2017-06-20 00:00:00,6902828,-9999.0
270,26.59,34.627,2017-06-20 00:00:00,6901770,1.0
271,33.645,32.529,2017-06-20 00:00:00,6903222,-9999.0
272,20.419,36.11,2017-06-21 00:00:00,6902828,-9999.0
273,25.805,34.037,2017-06-21 00:00:00,6903204,-9999.0
274,20.463,36.14,2017-06-22 00:00:00,6902828,-9999.0
275,20.506,36.162,2017-06-23 00:00:00,6902828,-9999.0
276,19.728,36.357,2017-06-24 00:00:00,6901768,1.0
277,20.544,36.177,2017-06-24 00:00:00,6902828,-9999.0
278,30.9,33.204,2017-06-24 00:00:00,6901773,2.0
279,20.574,36.178,2017-06-25 00:00:00,6902828,-9999.0
280,33.61,32.583,2017-06-25 00:00:00,6903222,-9999.0
281,10.151,40.313,2017-06-26 00:00:00,6901767,1.0
282,20.584,36.177,2017-06-26 00:00:00,6902828,-9999.0
283,21.4,36.4,2017-06-26 00:00:00,6901765,1.0
284,9.606,38.331,2017-06-27 00:00:00,6901769,1.0
285,20.6,36.173,2017-06-27 00:00:00,6902828,-9999.0
286,26.571,34.625,2017-06-27 00:00:00,6901770,8.0
287,20.613,36.157,2017-06-28 00:00:00,6902828,-9999.0
288,20.647,36.146,2017-06-29 00:00:00,6902828,-9999.0
289,8.489,42.74,2017-06-30 00:00:00,6902733,1.0
290,20.682,36.14,2017-06-30 00:00:00,6902828,-9999.0
291,19.837,36.493,2017-07-01 00:00:00,6901768,1.0
292,20.704,36.128,2017-07-01 00:00:00,6902828,-9999.0
293,25.729,33.902,2017-07-01 00:00:00,6903204,-9999.0
294,30.893,33.052,2017-07-01 00:00:00,6901773,2.0
295,20.727,36.111,2017-07-02 00:00:00,6902828,-9999.0
296,29.276,32.634,2017-07-02 00:00:00,6901766,2.0
297,10.187,40.315,2017-07-03 00:00:00,6901767,1.0
298,20.744,36.073,2017-07-03 00:00:00,6902828,-9999.0
299,21.482,36.474,2017-07-03 00:00:00,6901765,1.0
300,20.77,36.018,2017-07-04 00:00:00,6902828,-9999.0
301,26.531,34.554,2017-07-04 00:00:00,6901770,1.0
302,20.801,35.964,2017-07-05 00:00:00,6902828,-9999.0
303,33.676,32.567,2017-07-05 00:00:00,6903222,-9999.0
304,20.834,35.893,2017-07-06 00:00:00,6902828,-9999.0
305,25.731,33.8,2017-07-06 00:00:00,6903204,-9999.0
306,27.78,34.383,2017-07-06 00:00:00,6901764,1.0
307,20.865,35.811,2017-07-07 00:00:00,6902828,-9999.0
308,19.874,36.421,2017-07-08 00:00:00,6901768,1.0
309,20.889,35.733,2017-07-08 00:00:00,6902828,-9999.0
310,31.093,33.063,2017-07-08 00:00:00,6901773,2.0
311,20.906,35.661,2017-07-09 00:00:00,6902828,-9999.0
312,29.258,32.717,2017-07-09 00:00:00,6901766,2.0
313,10.209,40.31,2017-07-10 00:00:00,6901767,1.0
314,20.918,35.601,2017-07-10 00:00:00,6902828,-9999.0
315,21.565,36.528,2017-07-10 00:00:00,6901765,8.0
316,33.777,32.546,2017-07-10 00:00:00,6903222,-9999.0
317,20.925,35.543,2017-07-11 00:00:00,6902828,-9999.0
318,25.76,33.782,2017-07-11 00:00:00,6903204,-9999.0
319,26.456,34.413,2017-07-11 00:00:00,6901770,1.0
320,5.947,40.529,2017-07-12 00:00:00,6902688,-9999.0
321,20.929,35.488,2017-07-12 00:00:00,6902828,-9999.0
322,20.919,35.444,2017-07-13 00:00:00,6902828,-9999.0
323,27.864,34.403,2017-07-13 00:00:00,6901764,1.0
324,20.91,35.416,2017-07-14 00:00:00,6902828,-9999.0
325,19.458,36.216,2017-07-15 00:00:00,6901768,1.0
326,20.91,35.404,2017-07-15 00:00:00,6902828,-9999.0
327,31.18,33.15,2017-07-15 00:00:00,6901773,2.0
328,33.857,32.566,2017-07-15 00:00:00,6903222,-9999.0
329,20.908,35.4,2017-07-16 00:00:00,6902828,-9999.0
330,25.618,33.848,2017-07-16 00:00:00,6903204,-9999.0
331,29.482,32.744,2017-07-16 00:00:00,6901766,2.0
